"","SYMBOL","SECTOR","AVG.RTRN","AVG.GAIN","AVG.LOSS","MAX.GAIN","MAX.LOSS","PCT.POS","PCT.NEG"
"119","HBAN","Finance",-0.95,1.8,-2.67,3.74,-6.93,38.4615384615385,61.5384615384615
"120","HBANO","Finance",0.06,1.17,-0.49125,3.22,-1.9,33.3333333333333,66.6666666666667
"121","HDS","Consumer Services",-0.13,2.71111111111111,-8.66333333333333,6.18,-13.72,75,25
"122","HOLX","Health Care",-2.21,3.356,-5.68625,6.31,-11.28,38.4615384615385,61.5384615384615
"123","HSIC","Health Care",-0.35,2.91714285714286,-4.15833333333333,7.8,-8.44,53.8461538461538,46.1538461538462
"124","HTHT","Consumer Services",1.11,5.095,-6.85,13.02,-14.73,66.6666666666667,33.3333333333333
"125","IAC","Consumer Services",2.2,4.48555555555556,-2.955,11.73,-7.46,69.2307692307692,30.7692307692308
"126","ICLR","Health Care",0.61,1.965,-1.562,4.07,-3.54,61.5384615384615,38.4615384615385
"127","IDTI","Technology",-2.69,4.24,-5.76555555555556,7.98,-18.93,30.7692307692308,69.2307692307692
"128","IDXX","Health Care",1.96,3.811,-4.22666666666667,11.06,-7.78,76.9230769230769,23.0769230769231
"129","IEP","Capital Goods",0.81,3.0125,-3.59,16.02,-5.8,66.6666666666667,33.3333333333333
"130","ILMN","Capital Goods",-0.89,1.99333333333333,-3.36142857142857,7.3,-6.11,46.1538461538462,53.8461538461538
"131","INCY","Health Care",-1.73,1.36,-5.33,2.83,-20.35,53.8461538461538,46.1538461538462
"132","INFO","Technology",0.56,1.6,-1.88,5.55,-5.1,70,30
"133","INTC","Technology",-0.29,3.835,-3.83285714285714,6.9,-9.25,46.1538461538462,53.8461538461538
"134","INTU","Technology",0.7,4.19428571428571,-3.38166666666667,11.32,-7.23,53.8461538461538,46.1538461538462
"135","IONS","Health Care",0.12,3.32,-2.16,9.97,-4.2,41.6666666666667,58.3333333333333
"136","IPGP","Technology",-2.81,4.84166666666667,-9.37,10.39,-27.01,46.1538461538462,53.8461538461538
"137","IQ","Consumer Services",-1.04,2.91333333333333,-12.89,4.07,-12.89,75,25
"138","ISRG","Health Care",1.8,3.37111111111111,-1.725,8.11,-3.77,69.2307692307692,30.7692307692308
"139","JAZZ","Health Care",-1.12,4.6475,-4.00125,7.34,-8.56,33.3333333333333,66.6666666666667
