sentiment,analyst,management
anger,1.0986122886681098,3.6109179126442243
anticipation,2.772588722239781,5.111987788356544
disgust,0.6931471805599453,2.5649493574615367
fear,1.791759469228055,3.7612001156935624
joy,2.302585092994046,4.6913478822291435
sadness,NA,3.1354942159291497
surprise,1.0986122886681098,3.8501476017100584
trust,2.995732273553991,5.356586274672012
