"","SECTOR","Symbol","GainLoss_dol","GainLoss_perc","Bought","Buy_price","Sold","Sell_price","PROFIT","EQUITY"
"224","Health Care","AMGN",7.51,4.74,2017-02-01,158.589996,2017-02-03,166.100006,47.4000000000001,965.7
"225","Health Care","AMGN",-3.39,-2.07,2017-04-25,163.520004,2017-04-27,160.130005,-20.7,945
"226","Health Care","AMGN",-4.18,-2.32,2017-07-24,180.190002,2017-07-26,176.009995,-23.2,921.8
"227","Health Care","AMGN",-10.39,-5.73,2017-10-24,181.259995,2017-10-26,170.869995,-57.3000000000001,864.5
"228","Health Care","AMGN",-8.18,-4.27,2018-01-31,191.639999,2018-02-02,183.460007,-42.6999999999999,821.8
"229","Health Care","AMGN",2.04,1.19,2018-04-23,171.619995,2018-04-25,173.660004,11.9,833.7
"230","Health Care","AMGN",4.38,2.29,2018-07-25,191.619995,2018-07-27,196,22.8999999999999,856.6
"231","Health Care","AMGN",-0.24,-0.13,2018-10-29,189.320007,2018-10-31,189.080002,-1.29999999999995,855.3
"232","Health Care","AMGN",-6.08,-3.12,2019-01-28,194.970001,2019-01-30,188.889999,-31.2,824.1
"233","Public Utilities","AMOV",0.15,1.08,2016-02-02,13.92,2016-02-04,14.07,10.8,1010.8
"234","Public Utilities","AMOV",-0.11,-0.88,2016-05-24,12.5,2016-05-26,12.39,-8.80000000000007,1002
"235","Public Utilities","AMOV",-0.2,-1.71,2016-08-02,11.67,2016-08-04,11.47,-17.1,984.9
"236","Public Utilities","AMOV",-1,-7.92,2016-11-08,12.63,2016-11-10,11.63,-79.1999999999999,905.7
"237","Public Utilities","AMOV",0.45,3.72,2017-02-07,12.09,2017-02-09,12.54,37.1999999999998,942.9
"238","Public Utilities","AMOV",0.47,2.98,2017-05-23,15.76,2017-05-25,16.23,29.8,972.7
"239","Public Utilities","AMOV",0.02,0.11,2017-08-08,17.559999,2017-08-10,17.58,1.10000000000014,973.8
"240","Public Utilities","AMOV",-0.14,-0.81,2017-11-07,17.219999,2017-11-09,17.08,-8.10000000000002,965.7
"241","Public Utilities","AMOV",0.13,0.74,2018-02-06,17.530001,2018-02-08,17.66,7.40000000000009,973.1
"242","Public Utilities","AMOV",-0.59,-3.72,2018-05-29,15.86,2018-05-31,15.27,-37.2,935.9
"243","Public Utilities","AMOV",0.45,2.65,2018-08-07,17,2018-08-09,17.450001,26.5,962.4
"244","Public Utilities","AMOV",-0.25,-1.63,2018-11-06,15.32,2018-11-08,15.07,-16.3,946.1
"245","Public Utilities","AMOV",-0.05,-0.31,2019-02-05,15.98,2019-02-07,15.93,-3.10000000000002,943
"246","Health Care","AMRN",0.17,12.41,2016-02-24,1.37,2016-02-25,1.54,124.1,1124.1
"247","Health Care","AMRN",-0.13,-6.91,2016-05-04,1.88,2016-05-05,1.75,-69.0999999999999,1055
"248","Health Care","AMRN",-0.06,-1.87,2016-08-03,3.21,2016-08-04,3.15,-18.7,1036.3
"249","Health Care","AMRN",-0.05,-1.59,2016-11-02,3.15,2016-11-03,3.1,-15.9,1020.4
"250","Health Care","AMRN",0.13,3.92,2017-02-27,3.32,2017-02-28,3.45,39.1999999999998,1059.6
